dt,ttm_t,ttm_dt,e_vix_arma,chris_e_vix
2004-03-31,34,49,17.982962,18.418266572065463
2004-06-30,34,49,16.087555,18.242416860419418
2004-09-30,34,48,15.341801,16.307445860951074
2004-11-30,34,50,15.012671,14.778140821457042
2005-03-31,34,48,15.553262,16.164828729484654
2005-06-29,34,49,14.000577,15.069323595763723
2005-08-31,34,49,14.819745,16.204430776585962
2005-11-02,34,49,15.629462,18.200523570919938
2006-02-01,34,49,14.459965,14.827005313167032
2006-03-01,34,49,13.925729,14.41160233174418
2006-05-03,34,49,14.124141,14.980211750748605
2006-05-31,34,49,17.301678,14.937393161528195
2006-08-02,34,49,16.081774,17.20798154114257
2006-11-01,34,49,13.648368,13.503029493296204
2007-01-31,34,49,13.117383,13.887909667397507
2007-02-28,34,49,15.61203,13.537348635997287
2007-05-02,34,49,14.947,13.537348635997287
2007-07-05,34,48,16.737843,16.83623517083188
2007-08-01,34,49,21.734222,17.050031625380885
2007-10-04,34,48,18.981684,19.298071221936688
2007-10-31,34,49,19.37586,21.226280756440012
2008-04-03,34,48,22.924784,22.92498554929713
2008-04-30,34,49,20.506538,19.311947411982096
2008-07-02,34,49,23.609241,20.558312987426273
2008-09-04,34,48,22.124895,19.008517675955947
2008-10-02,34,48,36.429844,26.194701820258437
2008-12-01,34,51,54.424648,38.49682971012104
2009-04-01,34,49,36.605263,39.468484316392164
2009-06-03,34,49,28.031063,26.839846347016554
2009-07-01,34,49,24.9718,24.512280282716503
2009-09-02,34,49,25.729328,21.465402341454027
2009-10-01,34,48,25.190512,20.805591233135416
2009-11-30,34,51,22.716694,17.826142186652035
2010-03-03,34,49,19.547075,25.055529831647494
2010-03-31,34,49,18.231289,25.055529831647494
2010-06-02,34,49,28.462864,31.326953739418144
2010-06-30,34,49,29.192474,21.154990502212105
2010-09-01,34,49,23.447021,27.424206487330878
2010-09-30,34,48,22.444281,20.838603040353906
2010-11-03,34,49,20.00971,22.554568230091576
2010-11-30,34,50,21.802935,19.517169684433796
2011-03-03,34,48,19.213367,21.93140554482313
2011-06-01,34,49,18.34816,15.78672447363694
2011-08-03,34,49,22.233274,21.635011679350953
2011-08-31,34,49,29.666204,31.310820447759692
2011-11-02,34,49,28.666859,24.879562413283875
2012-02-01,34,49,19.135366,20.279157128483938
2012-02-29,34,49,18.791204,19.675294347453057
2012-05-02,34,49,17.827314,19.675294347453057
2012-07-05,34,48,18.438606,18.363001227035788
2012-08-01,34,49,18.989103,17.850029361444818
2012-10-02,34,50,16.768356,16.867765224410807
2012-10-31,34,49,18.636347,16.867765224410807
2013-04-04,34,48,15.36147,14.149179722524774
2013-05-01,34,49,15.841214,15.178585648293508
2013-07-03,34,49,17.501835,18.168448407970946
2013-07-31,34,49,15.15696,15.3130985968191
2013-10-03,34,48,17.660059,14.671028057368522
2013-12-02,34,51,15.451399,14.016527488460568
2014-04-02,34,49,15.284581,16.76448346625895
2014-04-30,34,49,15.307415,16.224272834119972
2014-07-02,34,49,13.441598,14.728943179117973
2014-09-04,34,48,14.487785,14.222095295012005
2014-10-02,34,48,16.903444,16.652749941449756
2014-12-01,34,51,15.488181,13.268475509049008
2015-04-01,34,49,16.349491,19.95509795316635
2015-06-03,34,49,15.324207,15.762290042894854
2015-07-01,34,49,16.898018,19.454516640911642
2015-09-02,34,49,24.755148,26.8896073913762
2015-10-01,34,48,22.388348,26.800450578129848
2015-11-30,34,51,17.173334,16.37723794074887
2016-03-02,34,49,18.771421,
2016-03-31,34,48,15.775496,
2016-06-01,34,49,15.788847,
2016-08-03,34,49,14.726645,
2016-08-31,34,49,15.045907,
2016-11-02,34,49,18.561762,
2017-02-01,34,49,13.905166,
2017-03-01,34,49,14.348548,
2017-05-03,34,49,13.366545,
2017-05-31,34,49,13.065648,
2017-08-02,34,49,12.807734,
2017-11-01,34,49,12.899357,
2018-01-31,34,49,14.899276,
2018-02-28,34,49,19.722317,
2018-05-02,34,49,17.197678,
2018-07-05,34,48,16.506994,
2018-08-01,34,49,14.946024,
2018-10-04,34,48,15.259273,
2019-02-28,34,48,16.21229,
2019-04-03,34,49,15.540813,
2019-05-01,34,49,15.710268,
2019-07-03,34,49,15.190109,
2019-07-31,34,49,16.364864,
2019-10-03,34,48,18.816568,
2019-12-02,34,51,15.602168,
2020-04-01,34,49,48.409512,
2020-06-03,34,49,24.902891,
2020-07-01,34,49,27.361708,
2020-09-02,34,49,24.171568,
2020-10-01,34,48,24.977074,
2020-11-30,34,51,21.005667,
2021-03-03,34,49,24.299129,
2021-03-31,34,49,19.811079,
2021-06-02,34,49,18.404276,
2021-06-30,34,49,17.137081,
2021-09-01,34,49,17.461315,
2021-09-30,34,48,21.711658,
2021-11-03,34,49,16.741472,
2021-11-30,34,50,23.617487,
2022-03-02,34,49,27.447689,
2022-05-31,34,50,25.158003,
2022-08-03,34,49,21.78686,
2022-08-31,34,49,23.771812,
2022-11-02,34,49,24.789114,
2023-02-01,34,49,18.864594,
2023-03-01,34,49,20.538424,
2023-05-02,34,50,18.230326,
2023-08-02,34,49,16.547028,
2023-11-01,34,49,18.480642,
2024-01-31,34,49,15.615439,
2024-04-04,34,48,16.659056,
2024-04-30,34,49,16.930048,
2024-07-03,34,49,14.318608,
2024-07-31,34,49,17.326694,
