Model,VIX_MA_1,VIX_MA_5,VIX_MA_10,VIX_MA_22,VIX_MA_66,Log_VIX_MA_1,Log_VIX_MA_5,Log_VIX_MA_10,Log_VIX_MA_22,Log_VIX_MA_66,SP500_MA_1,SP500_Log_Return_1,SP500_MA_5,SP500_MA_10,SP500_MA_22,SP500_MA_66,SP500_Log_Return_5,SP500_Log_Return_10,SP500_Log_Return_22,SP500_Log_Return_66,SP500_Volume_Change,Log_Oil_Price,USD_Change,Term_Spread
Model_1,0.9659307345280083,-0.058241954964850955,0.041875141732613023,0.03054875518780833,0.004845426023436393,-1.1869720662685213,1.3286749652614662,0.07791652640048752,-0.4450946933127348,0.33133330263700955,-2.3087942211697574,2.263253863434947,-1.4431778825824872,6.230248602547476,-0.6895391531037501,-1.8832521412012635,1.511388825899489,-6.263608136299735,0.7142440499407388,1.907912849264979,-0.05256704743079209,0.035564010472627625,-0.005154941102819569,-0.039920370141990145
Model_2,0.8642593731122592,-0.03216503765418803,0.08348397625828777,0.037658973655501235,0.019678832128400447,-0.7639244171651323,1.6269560726676424,-0.719884227497158,-0.29142634318997646,0.33883954634761737,3.1575632291725952,-3.188142908119491,-3.6657467989222416,11.146109925233134,-2.730929553056326,-3.3931774643643515,3.79475010910183,-11.162885353982887,2.7607654783260065,3.4301163375353014,-0.05185363900023499,0.06995185643780011,-0.060843760417080374,-0.08078798083552313
Model_3,0.8667919932476581,-0.11519219116121682,0.14156708914365682,0.05326568430993936,0.01684962929012086,-2.1090974441457835,4.167300787656328,-2.3497995211651674,-0.042841418576067825,0.5925705440963539,6.457790590244239,-6.493629918050747,-1.6883080744493577,11.730065711545288,-4.3201144108712155,-4.339082687071399,1.93525039855658,-11.822259354333069,4.374941658131627,4.389351550811866,-0.04282486429331731,0.10215851333473167,-0.03836550137519014,-0.11651079579335843
Model_4,0.8721730986851749,-0.2128387341605735,0.2592036150267053,0.007517699091317697,0.03170665806849227,-3.1223965384304755,6.92937023106014,-5.463577964513043,1.4912147952461225,0.46250419328701325,2.279677477975949,-2.3199246005115426,2.3214481427554854,10.687793177742995,-4.2487335651790215,-5.707496646207825,-1.9743438378908773,-10.884429750220125,4.346839943768546,5.766712683979521,0.0019228362955727538,0.1310076018016596,-0.04147902998834361,-0.15276606594952127
Model_5,0.7945778993077669,-0.20941217401792817,0.36455245428030625,-0.05490959724986492,0.056902554984976296,-1.9000751068275954,6.691056502269029,-7.655878327311307,3.0353539494768786,0.1693828448128849,-2.607744367145909,2.620554672890406,6.7710775276730715,9.979152436146006,-3.9349930428762736,-7.2303651460445115,-6.428156929313502,-10.231408483893876,4.079236026314451,7.292718595805308,-0.026337813120279004,0.1562908910199724,0.005165696191592868,-0.18569233050865563
Model_6,0.6622306095006757,-0.15315882604438052,0.456958348587562,-0.09987950074209437,0.07571369834361355,-0.6363245973169687,6.012781228474903,-9.08056874438744,4.008059533023095,0.10518124260512285,-2.60153783438634,2.617974316234926,14.1119207921874,5.4250468384620785,-2.549936073497261,-8.702060778013196,-13.846293877673785,-5.682337027415082,2.695894118698472,8.78330338470188,-0.04728195767218531,0.1745464847749945,0.015532809465509868,-0.22041292325341638
Model_7,0.6902680134740292,-0.21617716246384483,0.5149474498601895,-0.14379923095137057,0.09077465101232264,-0.6671985381821661,5.725933597315579,-9.63546401131097,4.972046221332769,0.055362136949568985,3.3630181212534724,-3.282828891300647,18.07841692952424,-1.7877246249860157,-0.34905329955776926,-9.704274329489468,-17.784342678535523,1.5085882931558183,0.4567568745911885,9.802394198263205,-0.036853873821935515,0.19301134386940544,-0.024694362186091674,-0.2517600070994721
Model_8,0.64163799879733,-0.23281273000590166,0.6199675421250027,-0.20078141410758982,0.10446132221687718,-0.18169490707327302,5.3591380404082045,-10.843295936757533,6.062436961018673,0.07951002963508749,2.7458737242905102,-2.6442940588486055,19.966765156106337,-3.919498711522669,-0.007930216243496532,-10.691183480607156,-19.795567714800836,3.68308510524944,0.08841200449335726,10.796347674380518,-0.005694645093283508,0.20611931269434094,0.00483532467856299,-0.28258504526399253
Model_9,0.6441018021882874,-0.3109589185292822,0.7837152632175415,-0.3130045588338023,0.12614359860109242,-0.7462218323607831,6.3084660485898345,-12.960117096844247,7.918279044874221,-0.025988664145673065,0.8376267573939896,-0.7601463896634484,23.686442762830172,-9.13938959563257,1.4601969457176414,-11.581997989479046,-23.630367009617682,8.980799594624898,-1.4138075893275341,11.681780038789366,0.04045806292188438,0.21689876435288827,0.028700404787859016,-0.3108251783290195
Model_10,0.5506107066847814,-0.23063884359322742,0.8583578224980071,-0.4058233406562752,0.15460306277080166,0.23190163700714023,4.838417087355431,-13.717316403962881,9.46525681976139,-0.302945205731644,3.963323508635006,-3.9188696103448306,22.582492026865502,-9.721485434781096,1.2598936626142747,-12.609409732901522,-22.606766305599734,9.628864094397553,-1.2272601442743005,12.701121476477361,0.017442480757720837,0.23320275078633806,-0.0037599087221882486,-0.34165959450130234
