Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Company,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Other Special Charges,Earnings From Equity Interest
0.0,0.147,129188000000.0,96995000000.0,11519000000.0,214137000000.0,129188000000.0,117669000000.0,-183000000.0,3933000000.0,3750000000.0,96995000000.0,96995000000.0,268984000000.0,114301000000.0,15812547000.0,15744231000.0,6.13,6.16,96995000000.0,96995000000.0,96995000000.0,96995000000.0,96995000000.0,16741000000.0,113736000000.0,-382000000.0,-382000000.0,-183000000.0,3933000000.0,3750000000.0,114301000000.0,54847000000.0,29915000000.0,24932000000.0,169148000000.0,214137000000.0,383285000000.0,383285000000.0,AAPL,,,,,,,,,,
0.0,0.162,133138000000.0,99803000000.0,11104000000.0,223546000000.0,133138000000.0,122034000000.0,-106000000.0,2931000000.0,2825000000.0,99803000000.0,99803000000.0,274891000000.0,119437000000.0,16325819000.0,16215963000.0,6.11,6.15,99803000000.0,99803000000.0,99803000000.0,99803000000.0,99803000000.0,19300000000.0,119103000000.0,-228000000.0,-228000000.0,-106000000.0,2931000000.0,2825000000.0,119437000000.0,51345000000.0,26251000000.0,25094000000.0,170782000000.0,223546000000.0,394328000000.0,394328000000.0,AAPL,,,,,,,,,,
0.0,0.133,123136000000.0,94680000000.0,11284000000.0,212981000000.0,123136000000.0,111852000000.0,198000000.0,2645000000.0,2843000000.0,94680000000.0,94680000000.0,256868000000.0,108949000000.0,16864919000.0,16701272000.0,5.61,5.67,94680000000.0,94680000000.0,94680000000.0,94680000000.0,94680000000.0,14527000000.0,109207000000.0,60000000.0,60000000.0,198000000.0,2645000000.0,2843000000.0,108949000000.0,43887000000.0,21914000000.0,21973000000.0,152836000000.0,212981000000.0,365817000000.0,365817000000.0,AAPL,,,,,,,,,,
0.0,0.144,81020000000.0,57411000000.0,11056000000.0,169559000000.0,81020000000.0,69964000000.0,890000000.0,2873000000.0,3763000000.0,57411000000.0,57411000000.0,208227000000.0,66288000000.0,17528214000.0,17352119000.0,3.28,3.31,57411000000.0,57411000000.0,57411000000.0,57411000000.0,57411000000.0,9680000000.0,67091000000.0,-87000000.0,-87000000.0,890000000.0,2873000000.0,3763000000.0,66288000000.0,38668000000.0,18752000000.0,19916000000.0,104956000000.0,169559000000.0,274515000000.0,274515000000.0,AAPL,,,,,,,,,,
-99918000.0,0.182,133558000000.0,88136000000.0,22287000000.0,74114000000.0,133009000000.0,110722000000.0,222000000.0,2935000000.0,3157000000.0,88585082000.0,88136000000.0,135689000000.0,109433000000.0,7469000000.0,7431000000.0,11.8,11.86,88136000000.0,88136000000.0,88136000000.0,88136000000.0,88136000000.0,19651000000.0,107787000000.0,-1868000000.0,-1319000000.0,222000000.0,2935000000.0,3157000000.0,109433000000.0,61575000000.0,29510000000.0,32065000000.0,171008000000.0,74114000000.0,245122000000.0,245122000000.0,MSFT,-549000000.0,-549000000.0,-206000000.0,206000000.0,-343000000.0,24456000000.0,7609000000.0,7609000000.0,,
-2850000.0,0.19,105155000000.0,72361000000.0,13861000000.0,65863000000.0,105140000000.0,91279000000.0,1026000000.0,1968000000.0,2994000000.0,72373150000.0,72361000000.0,123392000000.0,88523000000.0,7472000000.0,7446000000.0,9.68,9.72,72361000000.0,72361000000.0,72361000000.0,72361000000.0,72361000000.0,16950000000.0,89311000000.0,-238000000.0,-223000000.0,1026000000.0,1968000000.0,2994000000.0,88523000000.0,57529000000.0,27195000000.0,30334000000.0,146052000000.0,65863000000.0,211915000000.0,211915000000.0,MSFT,-15000000.0,-15000000.0,-30000000.0,30000000.0,15000000.0,22759000000.0,7575000000.0,7575000000.0,,
43754000.0,0.131,99905000000.0,72738000000.0,14460000000.0,62650000000.0,100239000000.0,85779000000.0,31000000.0,2063000000.0,2094000000.0,72447754000.0,72738000000.0,114887000000.0,83383000000.0,7540000000.0,7496000000.0,9.65,9.7,72738000000.0,72738000000.0,72738000000.0,72738000000.0,72738000000.0,10978000000.0,83716000000.0,302000000.0,-32000000.0,31000000.0,2063000000.0,2094000000.0,83383000000.0,52237000000.0,24512000000.0,27725000000.0,135620000000.0,62650000000.0,198270000000.0,198270000000.0,MSFT,334000000.0,334000000.0,-101000000.0,101000000.0,435000000.0,21825000000.0,5900000000.0,5900000000.0,,
180160797.164637,0.138266,83831000000.0,61271000000.0,11686000000.0,52232000000.0,85134000000.0,73448000000.0,-215000000.0,2346000000.0,2131000000.0,60148160797.164635,61271000000.0,98172000000.0,69916000000.0,7608000000.0,7547000000.0,8.05,8.12,61271000000.0,61271000000.0,61271000000.0,61271000000.0,61271000000.0,9831000000.0,71102000000.0,1401000000.0,98000000.0,-215000000.0,2346000000.0,2131000000.0,69916000000.0,45940000000.0,20716000000.0,25224000000.0,115856000000.0,52232000000.0,168088000000.0,168088000000.0,MSFT,1303000000.0,1303000000.0,-13000000.0,13000000.0,1316000000.0,20117000000.0,5107000000.0,5107000000.0,,
-286479000.0,0.139,100032000000.0,73795000000.0,11946000000.0,133332000000.0,97971000000.0,86025000000.0,3557000000.0,308000000.0,3865000000.0,75569521000.0,73795000000.0,223101000000.0,84293000000.0,12722000000.0,12630000000.0,5.8,5.84,73795000000.0,73795000000.0,73795000000.0,73795000000.0,73795000000.0,11922000000.0,85717000000.0,-2133000000.0,556000000.0,3557000000.0,308000000.0,3865000000.0,84293000000.0,89769000000.0,45427000000.0,44342000000.0,174062000000.0,133332000000.0,307394000000.0,307394000000.0,GOOGL,-2061000000.0,-2061000000.0,,,-2061000000.0,27917000000.0,16425000000.0,16425000000.0,,-628000000.0
-981507000.0,0.159,91333000000.0,59972000000.0,13475000000.0,126203000000.0,85160000000.0,71685000000.0,1817000000.0,357000000.0,2174000000.0,65163493000.0,59972000000.0,207994000000.0,74842000000.0,13159000000.0,13063000000.0,4.56,4.59,59972000000.0,59972000000.0,59972000000.0,59972000000.0,59972000000.0,11356000000.0,71328000000.0,-5331000000.0,1179000000.0,1817000000.0,357000000.0,2174000000.0,74842000000.0,81791000000.0,39500000000.0,42291000000.0,156633000000.0,126203000000.0,282836000000.0,282836000000.0,GOOGL,-6173000000.0,-6173000000.0,,,-6173000000.0,26567000000.0,15724000000.0,15724000000.0,,-337000000.0
1948860000.0,0.162,91491000000.0,76033000000.0,12441000000.0,110939000000.0,103521000000.0,91080000000.0,1153000000.0,346000000.0,1499000000.0,65951860000.0,76033000000.0,178923000000.0,78714000000.0,13553473900.0,13352993991.0,5.610003,5.694003,76033000000.0,76033000000.0,76033000000.0,76033000000.0,76033000000.0,14701000000.0,90734000000.0,10867000000.0,-1497000000.0,1153000000.0,346000000.0,1499000000.0,78714000000.0,67984000000.0,31562000000.0,36422000000.0,146698000000.0,110939000000.0,257637000000.0,257637000000.0,GOOGL,12030000000.0,12030000000.0,0.0,,12030000000.0,22912000000.0,13510000000.0,13510000000.0,,334000000.0
